H_mm,P_mbar,Tneedle_C,Tres_C,Tsurf_C,Dd_m,U_m_s,We,Ja,Dmaxb_m,Dmaxf_m,tmaxb_s,tmaxf_s,sourceb,sourcef,startframe,impactframe,endframe
0,565,19.6,20,23.9,0.001191476,2.253468988,683.1167145,0.035704225,0,0.006298885,0,0.003515625,0,20220914__N7000_N7000__12800fps_20220914_200345__N7000_N7000__12800fps_20220914_200345.tif,1,84,434
0,575,20.3,20,24.2,0.001190562,0.44467396,26.57919752,0.038450704,0,0.004403645,0,0.010234375,0,20220914__N7000_N7000__12800fps_20220914_201410__N7000_N7000__12800fps_20220914_201410.tif,1,589,939
0,576,20.1,20,23.8,0.001190308,0.445144946,26.62984012,0.034788732,0,0.009903556,0,0.011796875,0,20220914__N7000_N7000__12800fps_20220914_201608__N7000_N7000__12800fps_20220914_201608.tif,1,578,928
0,577,20.3,20,26,0.001180789,0.444354979,26.32319477,0.054929577,0,0.0043702,0,0.009609375,0,20220914__N7000_N7000__12800fps_20220914_201925__N7000_N7000__12800fps_20220914_201925.tif,1,639,989
0,579,20.2,20,25,0.001165856,0.707377244,65.86479466,0.045774648,0,0.004682357,0,0.008125,0,20220914__N7000_N7000__12800fps_20220914_202434__N7000_N7000__12800fps_20220914_202434.tif,1,303,653
0,579,20.1,20,24.4,0.00116918,0.709703722,66.48781156,0.04028169,0,0.004700937,0,0.007890625,0,20220914__N7000_N7000__12800fps_20220914_202655__N7000_N7000__12800fps_20220914_202655.tif,1,298,648
0,581,20.1,20,25.8,0.001160302,0.707703694,65.61157737,0.053098592,0,0.00599416,0,0.020078125,0,20220914__N7000_N7000__12800fps_20220914_203243__N7000_N7000__12800fps_20220914_203243.tif,1,302,652
0,581,20.4,20,26.5,0.001153374,0.949417035,117.3789903,0.059507042,0,0.004905326,0,0.0059375,0,20220914__N7000_N7000__12800fps_20220914_203514__N7000_N7000__12800fps_20220914_203514.tif,1,205,555
0,581,20.3,20,26.1,0.001153261,0.950061154,117.5268725,0.05584507,0,0.004920191,0,0.00609375,0,20220914__N7000_N7000__12800fps_20220914_203640__N7000_N7000__12800fps_20220914_203640.tif,1,206,556
0,581,20.2,20,25.6,0.001159215,0.950738416,118.3021133,0.051267606,0,0.004990798,0,0.006328125,0,20220914__N7000_N7000__12800fps_20220914_203855__N7000_N7000__12800fps_20220914_203855.tif,1,206,556
0,581,20.2,20,24.8,0.001165359,1.186514138,185.2302622,0.043943662,0,0.005488763,0,0.006015625,0,20220914__N7000_N7000__12800fps_20220914_204158__N7000_N7000__12800fps_20220914_204158.tif,1,161,511
0,581,20.1,20,24.4,0.001154072,1.182712481,182.2625449,0.04028169,0,0.005440453,0,0.0071875,0,20220914__N7000_N7000__12800fps_20220914_204346__N7000_N7000__12800fps_20220914_204346.tif,1,162,512
0,581,20.1,20,24,0.001155397,1.184953736,183.1641388,0.036619718,0,0.005455317,0,0.006171875,0,20220914__N7000_N7000__12800fps_20220914_204529__N7000_N7000__12800fps_20220914_204529.tif,1,158,508
0,581,20.1,20,23.8,0.001159347,1.408857365,259.8087447,0.034788732,0,0.005622544,0,0.005546875,0,20220914__N7000_N7000__12800fps_20220914_204719__N7000_N7000__12800fps_20220914_204719.tif,1,133,483
0,582,20.1,20,25.7,0.001141696,1.40305478,253.7499543,0.052183099,0,0.005388426,0,0.004921875,0,20220914__N7000_N7000__12800fps_20220914_204911__N7000_N7000__12800fps_20220914_204911.tif,1,135,485
0,581,20.1,20,26.2,0.001159078,1.406747414,258.9709708,0.056760563,0,0.006514422,0,0.0259375,0,20220914__N7000_N7000__12800fps_20220914_205035__N7000_N7000__12800fps_20220914_205035.tif,1,134,484
0,581,20.1,20,25.7,0.00115532,1.799534489,422.4049061,0.052183099,0,0.005797204,0,0.003828125,0,20220914__N7000_N7000__12800fps_20220914_205308__N7000_N7000__12800fps_20220914_205308.tif,1,103,453
0,582,20,20,24.5,0.00116412,1.820515961,435.6051824,0.041197183,0,0.005871527,0,0.00390625,0,20220914__N7000_N7000__12800fps_20220914_205741__N7000_N7000__12800fps_20220914_205741.tif,1,102,452
0,581,20,20,24.1,0.001144021,1.801656762,419.2610471,0.037535211,0,0.016648379,0,0.02734375,0,20220914__N7000_N7000__12800fps_20220914_210011__N7000_N7000__12800fps_20220914_210011.tif,1,102,452
0,582,20,20,23.8,0.001149175,2.146378097,597.7301513,0.034788732,0,0.006042052,0,0.004453125,0,20220914__N7000_N7000__12800fps_20220914_210228__N7000_N7000__12800fps_20220914_210228.tif,1,87,437
0,582,20,20,25.9,0.001144947,2.133192688,588.236643,0.054014085,0,0.00631215,0,0.003828125,0,20220914__N7000_N7000__12800fps_20220914_210418__N7000_N7000__12800fps_20220914_210418.tif,1,86,436
0,582,19.9,20,25.3,0.001145675,2.15977988,603.3742088,0.048521127,0,0.008672731,0,0.020234375,0,20220914__N7000_N7000__12800fps_20220914_210843__N7000_N7000__12800fps_20220914_210843.tif,1,86,436
0,583,19.9,20,24.3,0.001148605,2.384956725,737.6289524,0.039366197,0,0.006178951,0,0.003671875,0,20220914__N7000_N7000__12800fps_20220914_211223__N7000_N7000__12800fps_20220914_211223.tif,1,77,427
0,583,19.9,20,24,0.00113945,2.379365797,728.3231586,0.036619718,0,0.006204851,0,0.004140625,0,20220914__N7000_N7000__12800fps_20220914_211422__N7000_N7000__12800fps_20220914_211422.tif,1,77,427
0,582,19.9,20,23.9,0.00113251,2.36435534,714.7824683,0.035704225,0,0.011284911,0,0.006953125,0,20220914__N7000_N7000__12800fps_20220914_211644__N7000_N7000__12800fps_20220914_211644.tif,1,77,427
0,583,19.8,20,26.2,0.001142469,2.550473888,839.0590503,0.056760563,0,0.006260351,0,0.003671875,0,20220914__N7000_N7000__12800fps_20220914_211901__N7000_N7000__12800fps_20220914_211901.tif,1,71,421
0,583,19.8,20,25.9,0.001146874,2.55130825,842.8451426,0.054014085,0,0.01892535,0,0.020859375,0,20220914__N7000_N7000__12800fps_20220914_212115__N7000_N7000__12800fps_20220914_212115.tif,1,71,421
0,583,19.6,20,25.2,0.001142123,2.540637435,832.3472667,0.047605634,0,0.00628995,0,0.003203125,0,20220914__N7000_N7000__12800fps_20220914_212258__N7000_N7000__12800fps_20220914_212258.tif,1,73,423
0,552,18.9,19,19.1,0.001175568,1.813151045,436.3370668,0.000915493,0,0.006841246,0,0.005078125,0,20220915__N7000_N7000__12800fps_20220915_185202__N7000_N7000__12800fps_20220915_185202.tif,1,100,450
0,558,19,19.1,19.3,0.001163998,1.812475808,431.720788,0.001830986,0,0.00634545,0,0.0046875,0,20220915__N7000_N7000__12800fps_20220915_185624__N7000_N7000__12800fps_20220915_185624.tif,1,99,449
0,562,19.4,19.3,30.5,0.001161443,1.794861643,422.44122,0.102535211,0,0.005956953,0,0.00421875,0,20220915__N7000_N7000__12800fps_20220915_190248__N7000_N7000__12800fps_20220915_190248.tif,1,100,450
0,564,19.7,19.3,31.6,0.00102547,1.744756006,352.4510651,0.112605634,0,0.005683155,0,0.004140625,0,20220915__N7000_N7000__12800fps_20220915_190627__N7000_N7000__12800fps_20220915_190627.tif,1,103,453
0,568,20.3,19.4,40.1,0.001172922,1.782460455,420.7416188,0.189507042,0,0.005771954,0,0.0034375,0,20220915__N7000_N7000__12800fps_20220915_191212__N7000_N7000__12800fps_20220915_191212.tif,1,101,451
0,570,20.6,19.5,41.1,0.001165797,1.779434578,416.7670553,0.197746479,0,0.005716455,0,0.003359375,0,20220915__N7000_N7000__12800fps_20220915_191412__N7000_N7000__12800fps_20220915_191412.tif,1,101,451
0,579,21.3,20.9,49.6,0.001161213,1.786849046,418.5949307,0.262746479,0,0.005879254,0,0.003359375,0,20220915__N7000_N7000__12800fps_20220915_191958__N7000_N7000__12800fps_20220915_191958.tif,1,100,450
0,582,21.4,21.1,48.6,0.001167723,1.794582854,424.5933459,0.251760563,0,0.006056852,0,0.0034375,0,20220915__N7000_N7000__12800fps_20220915_192204__N7000_N7000__12800fps_20220915_192204.tif,1,101,451
0,587,22.4,22.1,60.3,0.001154819,1.775187808,410.8741082,0.34971831,0,0.008953929,0,0.02734375,0,20220915__N7000_N7000__12800fps_20220915_193141__N7000_N7000__12800fps_20220915_193141.tif,1,102,452
0,588,22.7,21.9,62.9,0.001150896,1.79119372,416.8957781,0.375352113,0,0.010859414,0,0.01421875,0,20220915__N7000_N7000__12800fps_20220915_193347__N7000_N7000__12800fps_20220915_193347.tif,1,101,451
0,590,22.8,22,65,0.001175564,1.820484666,439.8725129,0.393661972,0,0.007977137,0,0.023515625,0,20220915__N7000_N7000__12800fps_20220915_193513__N7000_N7000__12800fps_20220915_193513.tif,1,101,451
0,590,22.8,22,66.5,0.001155956,1.787034682,416.7865299,0.407394366,0,0.010803915,0,0.023671875,0,20220915__N7000_N7000__12800fps_20220915_193653__N7000_N7000__12800fps_20220915_193653.tif,1,100,450
0,591,23.2,22,68.6,0.001170597,1.770191562,414.1467405,0.426619718,0,0.011525409,0,0.018984375,0,20220915__N7000_N7000__12800fps_20220915_193929__N7000_N7000__12800fps_20220915_193929.tif,1,102,452
0,592,23,22,69.9,0.001156512,1.773280282,410.5927616,0.438521127,0,0.010315518,0,0.01734375,0,20220915__N7000_N7000__12800fps_20220915_194120__N7000_N7000__12800fps_20220915_194120.tif,1,100,450
0,1010,20.4,20.5,25.9,0.001282615,0.534999701,41.44859922,0.04943662,0,0.004458465,0,0.007109375,0,20220916__N7000_AIR__12800fps_20220916_152648__N7000_AIR__12800fps_20220916_152648.tif,1,825,1175
0,1010,20.3,20.5,25,0.001200565,0.534390667,38.70881913,0.041197183,0,0.004062568,0,0.006484375,0,20220916__N7000_AIR__12800fps_20220916_152834__N7000_AIR__12800fps_20220916_152834.tif,1,665,1001
0,1010,20.7,20.6,24.3,0.001238439,0.738888789,76.33771406,0.033873239,0,0.004506564,0,0.005390625,0,20220916__N7000_AIR__12800fps_20220916_154000__N7000_AIR__12800fps_20220916_154000.tif,1,342,692
0,1010,20.5,20.6,24.7,0.001170283,0.740956197,72.54081622,0.037535211,0,0.004317866,0,0.005546875,0,20220916__N7000_AIR__12800fps_20220916_154137__N7000_AIR__12800fps_20220916_154137.tif,1,346,696
0,1000,20.5,20.6,24.3,0.001143846,0.981970343,124.5290376,0.033873239,0,0.004587964,0,0.004296875,0,20220916__N7000_AIR__12800fps_20220916_154454__N7000_AIR__12800fps_20220916_154454.tif,1,237,587
0,1010,20.5,20.6,24.1,0.001135002,0.978038105,122.5785824,0.032042254,0,0.004517664,0,0.004375,0,20220916__N7000_AIR__12800fps_20220916_154720__N7000_AIR__12800fps_20220916_154720.tif,1,237,587
0,1010,20.7,20.6,26.4,0.001147812,1.221751963,193.4385899,0.053098592,0,0.004687863,0,0.003515625,0,20220916__N7000_AIR__12800fps_20220916_155729__N7000_AIR__12800fps_20220916_155729.tif,1,181,531
0,1010,20.6,20.6,26,0.00113894,1.223678098,192.5491232,0.04943662,0,0.004828462,0,0.00375,0,20220916__N7000_AIR__12800fps_20220916_155941__N7000_AIR__12800fps_20220916_155941.tif,1,184,534
0,1000,20.6,20.6,25.6,0.001139999,1.460361566,274.4932457,0.045774648,0,0.00502086,0,0.0034375,0,20220916__N7000_AIR__12800fps_20220916_160121__N7000_AIR__12800fps_20220916_160121.tif,1,150,500
0,1010,20.6,20.6,25.4,0.001136237,1.461016265,273.8327188,0.043943662,0,0.00508006,0,0.003828125,0,20220916__N7000_AIR__12800fps_20220916_160308__N7000_AIR__12800fps_20220916_160308.tif,1,153,503
0,1010,20.5,20.5,25.1,0.001129293,1.940816761,480.2660822,0.042112676,0,0.005383457,0,0.002890625,0,20220916__N7000_AIR__12800fps_20220916_160557__N7000_AIR__12800fps_20220916_160557.tif,1,115,465
0,1010,20.4,20.6,24.7,0.001117549,1.919525579,464.9014719,0.037535211,0,0.005265058,0,0.002890625,0,20220916__N7000_AIR__12800fps_20220916_160752__N7000_AIR__12800fps_20220916_160752.tif,1,115,465
0,1010,20.3,20.5,24.4,0.001112274,2.344322895,690.1648127,0.035704225,0,0.005564756,0,0.00265625,0,20220916__N7000_AIR__12800fps_20220916_160939__N7000_AIR__12800fps_20220916_160939.tif,1,93,443
0,1000,20.3,20.6,24.2,0.001111439,2.349381886,692.6264557,0.032957746,0,0.005557356,0,0.002421875,0,20220916__N7000_AIR__12800fps_20220916_161120__N7000_AIR__12800fps_20220916_161120.tif,1,93,443
0,1010,20.2,20.6,24.1,0.001112746,2.736715929,940.9394375,0.032042254,0,0.005694255,0,0.00234375,0,20220916__N7000_AIR__12800fps_20220916_161242__N7000_AIR__12800fps_20220916_161242.tif,1,79,429
0,1010,20.1,20.5,24,0.001111876,2.746405366,946.8731485,0.032042254,0,0.005723855,0,0.0025,0,20220916__N7000_AIR__12800fps_20220916_161406__N7000_AIR__12800fps_20220916_161406.tif,1,79,429
0,1010,20,20.6,24.3,0.001127068,3.12593956,1243.419248,0.033873239,0,0.006127152,0,0.0021875,0,20220916__N7000_AIR__12800fps_20220916_161634__N7000_AIR__12800fps_20220916_161634.tif,1,68,418
0,1010,20,20.6,24.8,0.001115213,3.129176681,1232.889728,0.038450704,0,0.005901453,0,0.00203125,0,20220916__N7000_AIR__12800fps_20220916_161800__N7000_AIR__12800fps_20220916_161800.tif,1,70,420
0,619,21.2,20.5,24.3,0.001191958,0.537551347,38.88725827,0.034788732,0,0.003921969,0,0.006015625,0,20220916__N7000_N2__12800fps_20220916_180247__N7000_N2__12800fps_20220916_180247.tif,1,697,1047
0,619,21.3,20.5,24.2,0.001180513,0.536753794,38.39965509,0.033873239,0,0.003973769,0,0.006796875,0,20220916__N7000_N2__12800fps_20220916_180409__N7000_N2__12800fps_20220916_180409.tif,1,802,1152
0,621,21.1,20.5,23.9,0.001210057,0.741309951,75.07786885,0.031126761,0,0.004351166,0,0.005078125,0,20220916__N7000_N2__12800fps_20220916_180844__N7000_N2__12800fps_20220916_180844.tif,1,346,696
0,622,21.1,20.6,24.4,0.001159177,0.741461928,71.95050761,0.034788732,0,0.004291966,0,0.005390625,0,20220916__N7000_N2__12800fps_20220916_180948__N7000_N2__12800fps_20220916_180948.tif,1,356,706
0,623,21,20.5,24.8,0.001225146,0.984599353,134.0951655,0.039366197,0,0.004902461,0,0.004609375,0,20220916__N7000_N2__12800fps_20220916_181120__N7000_N2__12800fps_20220916_181120.tif,1,237,587
0,624,20.9,20.5,24.7,0.001185327,0.985133877,129.8778373,0.038450704,0,0.004791462,0,0.004375,0,20220916__N7000_N2__12800fps_20220916_181254__N7000_N2__12800fps_20220916_181254.tif,1,238,588
0,624,20.8,20.5,24.5,0.001208556,1.23450537,207.9499978,0.036619718,0,0.00506896,0,0.00375,0,20220916__N7000_N2__12800fps_20220916_181431__N7000_N2__12800fps_20220916_181431.tif,1,182,532
0,625,20.7,20.5,24.3,0.00119193,1.233798466,204.8544795,0.034788732,0,0.00503196,0,0.003828125,0,20220916__N7000_N2__12800fps_20220916_181603__N7000_N2__12800fps_20220916_181603.tif,1,184,534
0,625,20.6,20.5,24.1,0.001188673,1.472767685,291.09672,0.032957746,0,0.005290958,0,0.003359375,0,20220916__N7000_N2__12800fps_20220916_181747__N7000_N2__12800fps_20220916_181747.tif,1,147,497
0,626,20.5,20.5,24,0.001193865,1.476309359,293.7759625,0.032042254,0,0.005216959,0,0.003359375,0,20220916__N7000_N2__12800fps_20220916_181851__N7000_N2__12800fps_20220916_181851.tif,1,145,495
0,627,20.4,20.5,23.9,0.001141664,1.956552151,493.4323631,0.031126761,0,0.005472257,0,0.002890625,0,20220916__N7000_N2__12800fps_20220916_182049__N7000_N2__12800fps_20220916_182049.tif,1,111,461
0,628,20.3,20.5,24.5,0.001134371,1.952771918,488.3876396,0.036619718,0,0.005438957,0,0.00296875,0,20220916__N7000_N2__12800fps_20220916_182235__N7000_N2__12800fps_20220916_182235.tif,1,112,462
0,628,20.2,20.5,24.7,0.001146837,2.399511084,745.5103251,0.038450704,0,0.005734955,0,0.002421875,0,20220916__N7000_N2__12800fps_20220916_182408__N7000_N2__12800fps_20220916_182408.tif,1,91,441
0,628,20.2,20.5,24.6,0.001154034,2.403213848,752.5058519,0.037535211,0,0.005790454,0,0.002421875,0,20220916__N7000_N2__12800fps_20220916_182553__N7000_N2__12800fps_20220916_182553.tif,1,91,441
0,628,20.1,20.5,24.5,0.001155965,2.823130365,1040.190692,0.036619718,0,0.006049452,0,0.00234375,0,20220916__N7000_N2__12800fps_20220916_182724__N7000_N2__12800fps_20220916_182724.tif,1,77,427
0,629,20.1,20.5,24.3,0.001170861,2.82779816,1057.081162,0.034788732,0,0.006256651,0,0.002421875,0,20220916__N7000_N2__12800fps_20220916_182902__N7000_N2__12800fps_20220916_182902.tif,1,77,427
0,631,19.9,20.5,24.1,0.001131282,3.232533278,1334.637025,0.032957746,0,0.013460494,0,0.01046875,0,20220916__N7000_N2__12800fps_20220916_183129__N7000_N2__12800fps_20220916_183129.tif,1,67,417
0,631,19.9,20.5,24,0.001137713,3.231744359,1341.568974,0.032042254,0,0.006160451,0,0.0021875,0,20220916__N7000_N2__12800fps_20220916_183243__N7000_N2__12800fps_20220916_183243.tif,1,67,417